#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B80CBB
#Date Time: 2025-01-13 16:26:01.499
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.00358625,0.8480605511091404
-0.003585,0.8258743961208189
-0.00358375,0.8221767036227585
-0.0035825,0.807385933630551
-0.00358125,0.7888974711402831
-0.00358,0.7778043936461223
-0.00357875,0.7778043936461223
-0.0035775,0.7667113161519665
-0.00357625,0.7593159311558544
-0.003575,0.7334320836694793
-0.00357375,0.7334320836694793
-0.0035725,0.7112459286811544
-0.00357125,0.7038505436850506
-0.00357,0.6927574661908898
-0.00356875,0.6853620811947827
-0.0035675,0.6705713112025684
-0.00356625,0.6668736187045164
-0.003565,0.6409897712181397
-0.00356375,0.6409897712181313
-0.0035625,0.6225013087278718
-0.00356125,0.6298966937239688
-0.00356,0.6077105387356575
-0.00355875,0.5929197687434431
-0.0035575,0.5781289987512356
-0.00355625,0.567035921257068
-0.003555,0.5522451512648605
-0.00355375,0.5448497662687465
-0.0035525,0.5337566887745808
-0.00355125,0.522663611280425
-0.00355,0.5115705337862643
-0.00354875,0.4967797637940499
-0.0035475,0.4930820712959963
-0.00354625,0.4671982238096331
-0.003545,0.4598028388135141
-0.00354375,0.4598028388135141
-0.0035425,0.4450120688212998
-0.00354125,0.4228259138329732
-0.00354,0.4117328363388175
-0.00353875,0.3932443738485496
-0.0035375,0.4006397588446567
-0.00353625,0.3710582188602281
-0.003535,0.3636628338641243
-0.00353375,0.3525697563699602
-0.0035325,0.3414766788757944
-0.00353125,0.3303836013816387
-0.00353,0.3118951388913657
-0.00352875,0.30080206139721
-0.0035275,0.2897089839030492
-0.00352625,0.2749182139108349
-0.003525,0.2601274439186206
-0.00352375,0.2527320589225168
-0.0035225,0.2453366739264062
-0.00352125,0.2305459039341818
-0.00352,0.2083597489458704
-0.00351875,0.2046620564478135
-0.0035175,0.1972666714517096
-0.00351625,0.1750805164633882
-0.003515,0.1602897464711805
-0.00351375,0.1602897464711738
-0.0035125,0.1381035914828624
-0.00351125,0.1307082064867451
-0.00351,0.119615128992576
-0.00350875,0.1011266665023165
-0.0035075,0.0937312815062093
-0.00350625,0.07894051151399496
-0.003505,0.05675435652567346
-0.00350375,0.06045204902372536
-0.0035025,0.04196358653345913
-0.00350125,0.02347512404319961
-0.0035,0.01238204654903046
-0.00349875,0.008684354050968464
-0.0034975,-0.009804108439291047
-0.00349625,-0.01350180093734463
-0.003495,-0.03568795592566613
-0.00349375,-0.0430833409217733
-0.0034925,-0.06896718840813662
-0.00349125,-0.06896718840814839
-0.00349,-0.08375795840036776
-0.00348875,-0.09485103589452348
-0.0034875,-0.1133394983847947
-0.00348625,-0.1207348833808986
-0.003485,-0.1318279608750593
-0.00348375,-0.1577118083614344
-0.0034825,-0.1577118083614344
-0.00348125,-0.1798979633497458
-0.00348,-0.1798979633497559
-0.00347875,-0.1983864258400289
-0.0034775,-0.2094795033341846
-0.00347625,-0.220572580828352
-0.003475,-0.2353633508205597
-0.00347375,-0.2464564283147204
-0.0034725,-0.2538518133108276
-0.00347125,-0.2760379682991491
-0.00347,-0.2871310457933048
-0.00346875,-0.294526430789417
-0.0034675,-0.3130148932796883
-0.00346625,-0.3204102782757921
-0.003465,-0.3315033557699528
-0.00346375,-0.3425964332641136
-0.0034625,-0.3536895107582744
-0.00346125,-0.36478258825243
-0.00346,-0.3758756657465959
-0.00345875,-0.3980618207349073
-0.0034575,-0.4091548982290781
-0.00345625,-0.4202479757232422
-0.003455,-0.427643360719346
-0.00345375,-0.4350387457154532
-0.0034525,-0.4498295157076675
-0.00345125,-0.4646202856998818
-0.00345,-0.4757133631940376
-0.00344875,-0.5015972106804176
-0.0034475,-0.5052949031784729
-0.00344625,-0.5089925956765249
-0.003445,-0.5237833656687442
-0.00344375,-0.5348764431629
-0.0034425,-0.5533649056531679
-0.00344125,-0.5718533681434358
-0.00344,-0.5718533681434358
-0.00343875,-0.5829464456375916
-0.0034375,-0.605132600625918
-0.00343625,-0.6088302931239784
-0.003435,-0.6236210631161859
-0.00343375,-0.6310164481123
-0.0034325,-0.6458072181045075
-0.00343125,-0.6495049106025611
-0.00343,-0.6605979880967218
-0.00342875,-0.6753887580889362
-0.0034275,-0.6864818355830919
-0.00342625,-0.6975749130772576
-0.003425,-0.7123656830694788
-0.00342375,-0.7271564530616863
-0.0034225,-0.7345518380577934
