#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B80CBB
#Date Time: 2025-01-13 16:25:44.831
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
0.00195,-0.0911533433964699
0.00195125,-0.09485103589452348
0.0019525,-0.08375795840036272
0.00195375,-0.08375795840036272
0.001955,-0.08006026590230914
0.00195625,-0.08006026590230914
0.0019575,-0.08006026590230914
0.00195875,-0.08375795840036272
0.00196,-0.07636257340425556
0.00196125,-0.06157180341204122
0.0019625,-0.06896718840814839
0.00196375,-0.06896718840814839
0.001965,-0.0652694959100948
0.00196625,-0.05787411091398764
0.0019675,-0.06157180341204122
0.00196875,-0.05787411091398764
0.00197,-0.05787411091398764
0.00197125,-0.05787411091398764
0.0019725,-0.0652694959100948
0.00197375,-0.05417641841593406
0.001975,-0.04678103341982689
0.00197625,-0.0430833409217733
0.0019775,-0.05047872591788047
0.00197875,-0.04678103341982689
0.00198,-0.0430833409217733
0.00198125,-0.03568795592566613
0.0019825,-0.02829257092955897
0.00198375,-0.03568795592566613
0.001985,-0.03568795592566613
0.00198625,-0.03199026342761255
0.0019875,-0.02829257092955897
0.00198875,-0.0208971859334518
0.00199,-0.0208971859334518
0.00199125,-0.0208971859334518
0.0019925,-0.01350180093734463
0.00199375,-0.01350180093734463
0.001995,-0.01350180093734463
0.00199625,-0.01719949343539821
0.0019975,-0.009804108439291047
0.00199875,-0.009804108439291047
0.002,-0.006106415941237463
0.00200125,-0.00240872344318388
0.0020025,0.001288969054869704
0.00200375,-0.00240872344318388
0.002005,0.008684354050976872
0.00200625,0.01607973904708404
0.0020075,0.01238204654903046
0.00200875,0.008684354050976872
0.00201,0.01977743154513762
0.00201125,0.001288969054869704
0.0020125,0.02347512404319121
0.00201375,0.01977743154513762
0.002015,0.02347512404319121
0.00201625,0.03087050903929837
0.0020175,0.03456820153735196
0.00201875,0.03087050903929837
0.00202,0.02717281654124479
0.00202125,0.03826589403540554
0.0020225,0.03826589403540554
0.00202375,0.03826589403540554
0.002025,0.03456820153735196
0.00202625,0.05305666402761988
0.0020275,0.05305666402761988
0.00202875,0.0493589715295663
0.00203,0.04196358653345913
0.00203125,0.05675435652567346
0.0020325,0.05675435652567346
0.00203375,0.0493589715295663
0.002035,0.05675435652567346
0.00203625,0.06414974152178063
0.0020375,0.06045204902372704
0.00203875,0.06414974152178063
0.00204,0.06784743401983422
0.00204125,0.0715451265178878
0.0020425,0.06784743401983422
0.00204375,0.07894051151399496
0.002045,0.07524281901594138
0.00204625,0.07894051151399496
0.0020475,0.07524281901594138
0.00204875,0.08633589651010214
0.00205,0.08633589651010214
0.00205125,0.09003358900815572
0.0020525,0.09003358900815572
0.00205375,0.0937312815062093
0.002055,0.09003358900815572
0.00205625,0.09742897400426288
0.0020575,0.0937312815062093
0.00205875,0.09742897400426288
0.00206,0.1048243590003701
0.00206125,0.09742897400426288
0.0020625,0.1048243590003701
0.00206375,0.1122197439964772
0.002065,0.1085220514984236
0.00206625,0.1196151289925844
0.0020675,0.1122197439964772
0.00206875,0.1196151289925844
0.00207,0.1196151289925844
0.00207125,0.1122197439964772
0.0020725,0.1196151289925844
0.00207375,0.1122197439964772
0.002075,0.1381035914828523
0.00207625,0.1381035914828523
0.0020775,0.1270105139886916
0.00207875,0.1307082064867451
0.00208,0.1418012839809059
0.00208125,0.1344058989847987
0.0020825,0.1307082064867451
0.00208375,0.1307082064867451
0.002085,0.1454989764789595
0.00208625,0.1454989764789595
0.0020875,0.1491966689770131
0.00208875,0.1491966689770131
0.00209,0.1565920539731202
0.00209125,0.1565920539731202
0.0020925,0.1528943614750666
0.00209375,0.1565920539731202
0.002095,0.1528943614750666
0.00209625,0.1602897464711738
0.0020975,0.1602897464711738
0.00209875,0.1602897464711738
0.0021,0.1639874389692274
0.00210125,0.1639874389692274
0.0021025,0.167685131467281
0.00210375,0.1713828239653346
0.002105,0.1713828239653346
0.00210625,0.167685131467281
0.0021075,0.1750805164633882
0.00210875,0.1787782089614417
0.00211,0.1861735939575489
0.00211125,0.1787782089614417
0.0021125,0.1935689789536561
0.00211375,0.1787782089614417
0.002115,0.1898712864556025
0.00211625,0.1898712864556025
0.0021175,0.1861735939575489
0.00211875,0.1898712864556025
0.00212,0.2083597489458704
0.00212125,0.1972666714517096
0.0021225,0.1898712864556025
0.00212375,0.2009643639497632
0.002125,0.2009643639497632
0.00212625,0.1972666714517096
0.0021275,0.2083597489458704
0.00212875,0.1972666714517096
0.00213,0.2083597489458704
0.00213125,0.212057441443924
0.0021325,0.2046620564478168
0.00213375,0.2083597489458704
0.002135,0.2231505189380847
