Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
4000.000000000001,0.03637384148881513,-29.56981462720016,108.0909514015892
4037.139204847498,0.03720723049332363,-29.40868395663508,108.0281618289567
4074.62323982917,0.03675803908662885,-29.25678316476058,107.9103384320876
4112.455306624267,0.0377357614285625,-29.10178732341979,107.924480459286
4150.638636638991,0.03652639382141021,-28.94584890101637,107.9076943470127
4189.176491282507,0.037869457733065,-28.7791538756539,107.7367268874839
4228.072162245523,0.03777173618988255,-28.61946927216264,107.7285288211078
4267.328971781431,0.03782516808903849,-28.46763465349466,107.5529277799392
4306.950272990093,0.0382368867417635,-28.30368401168831,107.522701291984
4346.939450104233,0.03767553633764791,-28.15625678369924,107.4908326341317
4387.299918778504,0.03823797311379277,-28.00340857197284,107.4169579159969
4428.035126381235,0.0379018195234238,-27.8342764809184,107.3814544193477
4469.148552288881,0.03868738069544165,-27.67474386798355,107.3137575345149
4510.643708183219,0.03922163977565089,-27.50670120105621,107.2149677272279
4552.524138351291,0.03871002622766292,-27.34879657760497,107.1637153320727
4594.793419988141,0.03931157065732611,-27.18017348265018,107.0087999168092
4637.455163502359,0.03737778830193561,-26.99351934051109,106.96615300539
4680.513012824457,0.03914000923677435,-26.82171384072354,106.8783328037063
4723.970645718123,0.04008540886931349,-26.63853926705518,106.8294998855449
4767.831774094345,0.03942141374248718,-26.45071855891471,106.7286484294663
4812.100144328468,0.04064584866239225,-26.25654281747988,106.5775873408327
4856.779537580189,0.03972822611414747,-26.06809448250846,106.4612377844699
4901.87377011652,0.03995406126128317,-25.86449518018231,106.3660006020393
4947.386693637751,0.04075170425899485,-25.67053502475616,106.2340603471993
4993.322195606449,0.03865334479063559,-25.47241384426458,106.0898559488087
5039.684199579494,0.04055766604115457,-25.26338159247598,105.9625955528574
5086.476665543213,0.04122316991132167,-25.0592119536981,105.8033539050881
5133.703590251618,0.03641785409212343,-24.85984352384449,105.6397335729102
5181.369007567789,0.04177005611857943,-24.64273526859828,105.4372275097774
5229.476988808422,0.04210162803500187,-24.4234476393884,105.2770586031964
5278.031643091577,0.0343962630602718,-24.2053272827525,105.0812217406905
5327.037117687665,0.04225488222835901,-23.9779685218682,104.8988274598975
5376.49759837367,0.04234126860006308,-23.74178717628569,104.7298166939434
5426.417309790688,0.04251271365597272,-23.51431835798804,104.513693353776
5476.800515804769,0.04270280601814501,-23.26949234364063,104.3177493427769
5527.651519871106,0.04271426592391403,-23.02175991917015,104.1100031271304
5578.974665401623,0.03378223555902098,-22.7738944616701,103.8332458803582
5630.77433613596,0.04403608348776816,-22.50471134619092,103.5995774963726
5683.054956515904,0.0436996030501986,-22.23401068889136,103.361138512916
5735.820992063311,0.03526943977367877,-21.96180002906807,103.0542233576973
5789.076949761513,0.04428600068845615,-21.66732909019014,102.745237263074
5842.827378440291,0.04411308510226788,-21.38445486891031,102.4401145955671
5897.076869164406,0.03766669104861188,-21.09426281556483,102.1523206733038
5951.830055625738,0.04530534819787857,-20.79316571489685,101.7927844914065
6007.091614539082,0.04547563502159796,-20.49101147213232,101.4229792406435
6062.866266041594,0.04141134467153854,-20.17299418443113,101.0606802501468
6119.158774095968,0.0456574943088371,-19.83653432556317,100.6170196244178
6175.973946897345,0.04642386415450145,-19.4940056424323,100.1664125058878
6233.316637284001,0.04410302636023392,-19.15037490854364,99.70214974821194
6291.19174315185,0.03223858732409374,-18.78017432977386,99.1327111558227
6349.604207872799,0.04660332112146885,-18.40999756853467,98.59471636932153
6408.559020716979,0.0464559787847721,-18.00483488997677,97.92208030736271
6468.061217278899,0.03990363317781073,-17.60600006941056,97.24747839372789
6528.115879907565,0.04731825512444095,-17.18212935730789,96.47918660605976
6588.728138140586,0.04786843867155452,-16.73476908855203,95.66277103084985
6649.903169142303,0.04589643725226451,-16.26744482230747,94.75593085127937
6711.646198146002,0.03295349059092023,-15.76923364883239,93.66234731690136
6773.962498900218,0.04836597665373425,-15.24424160809273,92.47064834625125
6836.857394119198,0.04801625548114247,-14.68523056040029,91.06082266849663
6900.336255937526,0.0436825554046531,-14.07849654338051,89.43506939129996
6964.404506368994,0.03829000469592048,-13.43263691990799,87.53479023675683
7029.067617769711,0.04895692956220685,-12.72386306607985,85.2100831912399
7094.331113305524,0.04852158951006581,-11.95322917935328,82.38522772262203
7160.20056742378,0.04114457653440277,-11.1079651457655,78.76392574351891
7226.68160632946,0.04170115487225846,-10.17210608550348,74.04387701009452
7293.779908465735,0.04822992667868971,-9.157730587796905,67.74653020483436
