Time (s),Channel 1 (V),Channel 2 (V)
-0.001886326814704928,-1.714440350042005,-0.3794702983018113
-0.001885816814704928,-1.740324197528383,-0.3794702983018028
-0.001885306814704928,-1.773603430010867,-0.3609044175801217
-0.001884796814704928,-1.8105803549914,-0.3609044175801167
-0.001884286814704928,-1.840161894975825,-0.3497648891471096
-0.001883776814704928,-1.862348049964145,-0.3534780652914424
-0.001883266814704928,-1.880836512454422,-0.3460517130027683
-0.001882756814704928,-1.917813437434961,-0.3423385368584321
-0.001882246814704928,-1.962185747411598,-0.3423385368584355
-0.001881736814704928,-1.995464979894077,-0.3497648891471029
-0.001881226814704928,-2.021348827380447,-0.3386253607140925
-0.001880716814704928,-2.036139597372672,-0.3349121845697529
-0.001880206814704928,-2.073116522353206,-0.3274858322810787
-0.001879696814704928,-2.106395754835658,-0.3237726561367442
-0.001879186814704928,-2.132279602322036,-0.31634630384807
-0.001878676814704928,-2.150768064812308,-0.3274858322810754
-0.001878166814704928,-2.169256527302576,-0.3089199515593992
-0.001877656814704928,-2.209931144781155,-0.2903540708377096
-0.001877146814704928,-2.235814992267537,-0.2903540708377012
-0.001876636814704928,-2.246908069761704,-0.2903540708377012
-0.001876126814704928,-2.280187302244177,-0.2903540708377012
-0.001875616814704928,-2.313466534726659,-0.27178819011602
-0.001875106814704928,-2.346745767209141,-0.2606486616830029
-0.001874596814704928,-2.361536537201364,-0.2383696048169804
-0.001874086814704928,-2.376327307193578,-0.2457959571056428
-0.001873576814704928,-2.391118077185793,-0.2383696048169737
-0.001873066814704928,-2.43179269466437,-0.2346564286726341
-0.001872556814704928,-2.450281157154648,-0.2272300763839599
-0.001872046814704928,-2.472467312142978,-0.2309432525282945
-0.001871536814704928,-2.483560389637139,-0.2160905479509428
-0.001871026814704928,-2.50574654462546,-0.2086641956622669
-0.001870516814704928,-2.539025777107943,-0.204951019517929
-0.001870006814704928,-2.561211932096264,-0.1938114910849152
-0.001869496814704928,-2.579700394586532,-0.1789587865075636
-0.001868986814704928,-2.590793472080693,-0.1752456103632256
-0.001868476814704928,-2.620375012065121,-0.1715324342188877
-0.001867966814704928,-2.642561167053443,-0.156679729641536
-0.001867456814704928,-2.642561167053443,-0.1344006727755085
-0.001866946814704928,-2.668445014539818,-0.1269743204868327
-0.001866436814704928,-2.7017242470223,-0.1269743204868327
-0.001865926814704928,-2.705421939520354,-0.1195479681981568
-0.001865416814704928,-2.716515017014514,-0.1009820874764672
-0.001864906814704928,-2.738701172002836,-0.09726891133212928
-0.001864396814704928,-2.75349194199505,-0.09355573518779135
-0.001863886814704928,-2.771980404485318,-0.07870303061043968
-0.001863376814704928,-2.79416655947364,-0.07498985446610175
-0.001862866814704928,-2.797864251971693,-0.06013714988875006
-0.001862356814704928,-2.816352714461961,-0.04157126916706046
-0.001861846814704928,-2.823748099458069,-0.04528444531139838
-0.001861336814704928,-2.834841176952229,-0.04157126916706046
-0.001860826814704928,-2.864422716936658,-0.02671856458970878
-0.001860316814704928,-2.879213486928872,-0.03785809302272254
-0.001859806814704928,-2.88660887192498,-0.008152683868019168
-0.001859296814704928,-2.894004256921086,0.006700020709332516
-0.001858786814704928,-2.912492719411354,0.03640542986403589
-0.001858276814704928,-2.919888104407462,0.03640542986403589
-0.001857766814704928,-2.923585796905515,0.03640542986403589
-0.001857256814704928,-2.93837656689773,0.04754495829704965
-0.001856746814704928,-2.942074259395783,0.04754495829704965
-0.001856236814704928,-2.953167336889944,0.05497131058572549
-0.001855726814704928,-2.960562721886051,0.08838989588476678
-0.001855216814704928,-2.971655799380212,0.0809635435960977
-0.001854706814704928,-2.971655799380219,0.09581624817344769
-0.001854196814704928,-2.98644656937243,0.1069557766064631
-0.001853686814704928,-2.993841954368542,0.1218084811838013
-0.001853176814704928,-3.012330416858796,0.1069557766064682
-0.001852666814704928,-3.001237339364642,0.1329480096168235
-0.001852156814704928,-3.004935031862699,0.1366611857611648
-0.001851646814704928,-3.01602810935686,0.1478007141941786
-0.001851136814704928,-3.027121186851014,0.1589402426271924
-0.001850626814704928,-3.023423494352962,0.1700797710602028
-0.001850116814704928,-3.023423494352964,0.1737929472045407
-0.001849606814704928,-3.027121186851012,0.177506123348882
-0.001849096814704928,-3.01972580185491,0.1886456517818991
-0.001848586814704928,-3.023423494352965,0.2072115325035803
-0.001848076814704928,-3.030818879349066,0.2072115325035803
-0.001847566814704928,-3.027121186851017,0.2220642370809252
-0.001847056814704928,-3.045609649341275,0.222064237080932
-0.001846546814704928,-3.030818879349076,0.2332037655139407
-0.001846036814704928,-3.034516571847121,0.2406301178026182
-0.001845526814704928,-3.041911956843226,0.2629091746686389
-0.001845016814704928,-3.030818879349074,0.2666223508129854
-0.001844506814704928,-3.027121186851017,0.2703355269573233
-0.001843996814704928,-3.023423494352964,0.2926145838233424
-0.001843486814704928,-3.027121186851014,0.28518823153468
-0.001842976814704928,-3.019725801854912,0.2889014076790128
-0.001842466814704928,-3.019725801854908,0.3000409361120233
-0.001841956814704928,-3.030818879349064,0.3074672884007008
-0.001841446814704928,-3.01233041685881,0.3186068168337128
-0.001840936814704928,-2.986446569372438,0.3148936406893816
-0.001840426814704928,-2.975353491878265,0.3260331691223938
-0.001839916814704928,-2.993841954368533,0.3371726975554075
-0.001839406814704928,-2.99014426187048,0.3408858736997454
-0.001838896814704928,-2.967958106882158,0.3371726975554075
-0.001838386814704928,-2.964260414384105,0.3445990498440833
-0.001837876814704928,-2.942074259395783,0.3557385782770971
-0.001837366814704928,-2.942074259395783,0.3668781067101109
-0.001836856814704928,-2.934678874399676,0.3705912828544488
