Frequency (Hz),Trace 2 (dBV),Phase (deg)
0,-72.76233487743241,59.01031126961493
5.384663101014556,-74.2002781676092,23.73949173220416
10.76932620202911,-65.87433586228953,69.14332729718573
16.15398930304367,-69.06509188323054,157.6971028826478
21.53865240405823,-67.10087890139243,119.0577216836755
26.92331550507278,-61.35496330301087,99.97100707324178
32.30797860608734,-72.33158641104527,82.64699587232721
37.6926417071019,-62.90632981777112,68.8241705904628
43.07730480811645,-62.10139465234942,130.4786660578929
48.461967909131,-64.93053869031027,51.50106919928518
53.84663101014556,-57.7916218006532,99.09287518310055
59.23129411116012,-56.70634258473253,25.85497906939814
64.61595721217468,-69.61468311924443,32.20496979143596
70.00062031318923,-65.92980980647644,88.7518977675298
75.3852834142038,-65.228292598761,140.6070306042951
80.76994651521835,-72.2931051687647,26.41589257325824
86.1546096162329,-64.62792044467734,153.9684781764624
91.53927271724746,-67.1483854710043,4.771045937167305
96.92393581826201,-71.68284941153782,16.67987199885007
102.3085989192766,-56.02650500504937,121.5453460560151
107.6932620202911,-61.42890377021268,131.97220207968
113.0779251213057,-60.23166994734901,154.5924653293736
118.4625882223202,-67.22431627868852,132.0306749383199
123.8472513233348,-65.20257981290224,37.8971780866824
129.2319144243494,-60.20653584682676,39.66483353461888
134.6165775253639,-55.27811337081198,174.3350885400455
140.0012406263785,-55.61335924491534,18.16236062574567
145.385903727393,-59.32547162586679,37.1751849601091
150.7705668284076,-61.73602196222996,27.89287305534374
156.1552299294221,-80.12378159124184,152.2860264116571
161.5398930304367,-75.05079445849672,159.9818495693385
166.9245561314513,-64.54595819115315,49.8449962307974
172.3092192324658,-60.00926267270069,129.9982453261593
177.6938823334804,-65.02920955466693,124.535396306059
183.0785454344949,-78.34173343267277,140.6699461484911
188.4632085355095,-67.58304907549703,7.503443097164741
193.847871636524,-63.70871132480181,99.23477063405441
199.2325347375386,-61.91832380168256,156.2210528849191
204.6171978385532,-66.13778837501013,72.10510440080525
210.0018609395677,-69.68511072107441,155.4129358971938
215.3865240405823,-61.07142994137382,59.48794754175739
220.7711871415968,-62.7639707310795,124.6544840566156
226.1558502426114,-58.00069889706315,128.6689456219116
231.5405133436259,-57.80750304619782,29.29981258437894
236.9251764446405,-59.61471031401426,130.975236722226
242.3098395456551,-61.25756719500502,138.2546015664257
247.6945026466696,-58.15961594316868,11.82036906070034
253.0791657476842,-50.5618090292107,112.7038991193381
258.4638288486987,-55.57023771257936,12.06359884878058
263.8484919497133,-54.09205589493703,44.94175902265205
269.2331550507278,-57.32334520896276,43.07850027586133
274.6178181517424,-52.17001179401257,126.8291433944526
280.0024812527569,-58.79227438008642,52.25172240534594
285.3871443537715,-49.25801817526683,173.4304730773843
290.771807454786,-51.74172558915595,178.8642720177816
296.1564705558006,-62.44735603943575,93.69197105358664
301.5411336568152,-56.58166015408041,89.93805583413429
306.9257967578297,-56.97294772347832,3.495028380002394
312.3104598588443,-53.46355443679763,178.1683549530988
317.6951229598588,-63.36270492207719,37.51876178797952
323.0797860608734,-55.27624113889907,106.7942916237261
328.464449161888,-60.52967548664148,171.2703857465841
333.8491122629025,-52.21687211404183,139.881431149921
339.2337753639171,-48.68801370024099,38.37687338791819
344.6184384649316,-60.33421912044987,87.99730585575627
350.0031015659462,-52.48335958287246,53.53604469218659
355.3877646669607,-51.73029434645076,15.08196593273129
360.7724277679753,-62.42658703185559,133.9352109836678
366.1570908689898,-57.94344973021246,70.89940872717955
371.5417539700044,-59.6467911108632,174.9323629696045
376.9264170710189,-62.79362586409678,21.37808967630856
382.3110801720335,-63.86431818591873,99.29268759952669
387.695743273048,-65.19354237776065,22.39792875856893
393.0804063740626,-61.85461880056371,16.51253840073256
398.4650694750772,-79.86001338092485,110.8628803928275
403.8497325760918,-70.49201075800531,23.63036694132096
