Frequency (Hz),Trace 2 (dBV),Phase (deg),Trace 3 (dBV),Phase (deg),Trace 4 (dBV),Phase (deg)
0,-78.46863256103003,21.35680436423899,-72.76233487743241,59.01031126961493,-77.57051650527647,72.22563249592049
1.511332332549214,-69.88923250994283,143.0360128534784,-67.08248757243116,27.12595047467306,-83.33869555951773,149.1535662013664
3.022664665098428,-78.03846947339879,143.7266514813613,-76.5066221335311,37.82288996684945,-67.61196207998715,95.84923637249351
4.533996997647641,-75.60369804892031,141.4935361782281,-68.82219668046817,132.7359136297944,-78.47907032278289,146.8845489482488
6.045329330196855,-74.17495647711269,75.20262573600714,-66.17117531700863,14.14362744644064,-81.70783895691677,123.1226971848385
7.55666166274607,-78.62898403367973,119.0687192637393,-63.3894642790566,50.48018280121783,-65.46846644858955,42.5993441498557
9.067993995295282,-75.12508707234099,53.93656075200815,-67.32120179595385,94.04098923517014,-78.95104813099746,63.4621869333987
10.5793263278445,-69.16969185592195,16.98513891096253,-88.32399953997397,75.01885571200744,-68.95889364354741,34.04558670466198
12.09065866039371,-65.94803216047816,73.57098100137792,-64.35865120982074,102.6414101393357,-75.87986938952723,43.34144004028105
13.60199099294293,-69.21241246003969,20.4880892777609,-59.54671288613448,31.72025424606445,-73.43095475382567,0.1904603078264994
15.11332332549214,-72.71714733833947,56.15605610699699,-67.81619856368576,138.8520988610792,-72.84243361573589,56.24183580815311
16.62465565804135,-78.95171918668636,101.932126200849,-60.55526220726278,150.6376205880584,-85.16672771664309,124.5043790630023
18.13598799059056,-70.1286141820279,64.97200808696508,-67.94517315513244,52.08659765077724,-74.34813060219264,42.14129055418082
19.64732032313978,-75.55670758933748,93.24128207911353,-73.62605000765372,9.164499945552947,-79.9499469468103,42.36715796629923
21.15865265568899,-72.02761182384323,120.2832697559097,-70.18455407727187,105.9835830535076,-73.51765110798918,32.32066415932741
22.66998498823821,-78.27954158200343,72.32370792353336,-68.44223732709284,126.0500430807878,-74.23117730876777,20.19415784441777
24.18131732078742,-73.52001001055508,162.1880065454953,-67.62814808691671,161.507470718966,-72.82650118720916,146.4905097140164
25.69264965333663,-71.36307256296999,152.6491216917095,-67.69784435816597,105.8936205320068,-70.31934435718547,59.3779827935497
27.20398198588585,-66.86430916606506,57.47211591286646,-66.09280359781506,132.3195551891391,-73.73162994537475,70.00917355782518
28.71531431843506,-77.74411423995402,149.9585511229972,-70.85419342916106,103.4798378305808,-80.6645941353315,135.8627016768686
