Frequency (Hz),Trace 2 (dBV),Phase (deg),Trace 3 (dBV),Phase (deg),Trace 4 (dBV),Phase (deg)
0,-72.76233487743241,59.01031126961493,-82.95415447127324,166.1156639118405,-83.88004329849379,46.43162799723805
5.384663101014556,-74.2002781676092,23.73949173220416,-75.85790298723491,102.8632210496022,-74.52966209526355,175.3698276903957
10.76932620202911,-65.87433586228953,69.14332729718573,-72.47322052464239,162.8754095393025,-67.83414983159685,40.21795181995036
16.15398930304367,-69.06509188323054,157.6971028826478,-87.4162015212916,109.9976685924466,-80.35944892857756,63.91982881573477
21.53865240405823,-67.10087890139243,119.0577216836755,-74.4046656748031,58.79833401842978,-89.35735159520041,112.3751830460345
26.92331550507278,-61.35496330301087,99.97100707324178,-78.6557428433355,116.4142035498326,-74.74433814639474,132.5277625264903
32.30797860608734,-72.33158641104527,82.64699587232721,-79.00674657549027,169.4297310054529,-72.95160001196447,103.9959440863361
37.6926417071019,-62.90632981777112,68.8241705904628,-72.65224435222378,148.7688178068303,-75.2098658136522,155.208802438618
43.07730480811645,-62.10139465234942,130.4786660578929,-75.45643210310972,17.95104291332592,-84.94136832358079,103.3009523795438
48.461967909131,-64.93053869031027,51.50106919928518,-69.08452543236601,179.9645705113832,-68.86291870752017,26.94037567921077
53.84663101014556,-57.7916218006532,99.09287518310055,-68.32927768210611,113.8626128789597,-67.39758655993866,120.6645716375367
59.23129411116012,-56.70634258473253,25.85497906939814,-80.99375616078235,76.28663830121647,-71.81933983914263,22.2049242449824
64.61595721217468,-69.61468311924443,32.20496979143596,-75.04803896208796,161.9466350874085,-79.82775623232644,18.20652231849218
70.00062031318923,-65.92980980647644,88.7518977675298,-72.78500668463008,93.46816531023399,-77.22526707205988,42.50043603498104
75.3852834142038,-65.228292598761,140.6070306042951,-75.79122504409686,45.10261452855699,-80.14984521835748,36.95589215242553
80.76994651521835,-72.2931051687647,26.41589257325824,-72.50284012755027,123.5845355693198,-72.65041723176455,8.794643251781107
86.1546096162329,-64.62792044467734,153.9684781764624,-82.50274814474295,68.18927614756146,-80.26944857617373,75.95973215384834
91.53927271724746,-67.1483854710043,4.771045937167305,-77.92056690860009,85.15041062687831,-79.67885094873311,135.2872542786091
96.92393581826201,-71.68284941153782,16.67987199885007,-72.87917763345673,170.7316420119471,-77.81653494032176,20.18544986111417
102.3085989192766,-56.02650500504937,121.5453460560151,-72.80841189135883,119.968058446272,-70.95651843754553,6.798929207880545
107.6932620202911,-61.42890377021268,131.97220207968,-71.37245860296096,7.324322969267518,-71.60057996992501,22.8075559726178
113.0779251213057,-60.23166994734901,154.5924653293736,-78.46462921560172,1.865069611175188,-70.98391302477859,0.02616010699831735
118.4625882223202,-67.22431627868852,132.0306749383199,-81.07158725623873,64.42586239231859,-72.67805601605419,142.0065654318556
123.8472513233348,-65.20257981290224,37.8971780866824,-65.0435974430827,80.84969766413596,-84.56880316397633,101.6011066410013
129.2319144243494,-60.20653584682676,39.66483353461888,-66.82464706884103,26.53854746288292,-58.82586433362281,64.13835645274472
134.6165775253639,-55.27811337081198,174.3350885400455,-68.8881773374078,116.7558409123281,-58.20552743153406,15.21186468404504
140.0012406263785,-55.61335924491534,18.16236062574567,-68.62675599446932,3.286604801566217,-55.805079493204,62.49999288719478
145.385903727393,-59.32547162586679,37.1751849601091,-64.57927157242709,164.0086969954182,-53.59286148484996,5.263661527672086
150.7705668284076,-61.73602196222996,27.89287305534374,-70.63575790056591,8.72546154487882,-65.72149439697912,107.4252398100926
156.1552299294221,-80.12378159124184,152.2860264116571,-76.90830314136218,171.8385546894831,-74.82498038030896,103.4771701223063
161.5398930304367,-75.05079445849672,159.9818495693385,-74.62247138272792,1.651963791580217,-76.33002992000125,35.76236489040407
166.9245561314513,-64.54595819115315,49.8449962307974,-72.67376110166734,53.66081274138587,-71.20238166569999,84.36066455115535
172.3092192324658,-60.00926267270069,129.9982453261593,-82.16833714238363,130.1710206341542,-88.70942056255039,24.80611246208442
177.6938823334804,-65.02920955466693,124.535396306059,-77.88073891361979,160.6180464469531,-65.30133050447013,22.31151814407118
183.0785454344949,-78.34173343267277,140.6699461484911,-80.44826660151109,71.15401407860553,-70.62365538826604,155.1781590647111
188.4632085355095,-67.58304907549703,7.503443097164741,-74.27485947005754,135.155788288886,-70.95338486672753,42.89649373084837
193.847871636524,-63.70871132480181,99.23477063405441,-72.66309614952858,91.98696331349309,-65.12848676051178,46.49750496145663
199.2325347375386,-61.91832380168256,156.2210528849191,-77.34713866844973,80.24356902345066,-65.85611743633444,40.25083138291369
204.6171978385532,-66.13778837501013,72.10510440080525,-74.58500210591774,158.9695959543131,-59.96879344103989,70.9849310518143
210.0018609395677,-69.68511072107441,155.4129358971938,-67.9224121478881,81.96947009873003,-60.08105539914788,11.52755574818134
215.3865240405823,-61.07142994137382,59.48794754175739,-67.10652375811077,113.4041805444408,-62.13359289818026,135.9210324332648
220.7711871415968,-62.7639707310795,124.6544840566156,-66.86068909237937,47.19064235277193,-69.93773481292791,53.56249553092761
226.1558502426114,-58.00069889706315,128.6689456219116,-70.13708035923401,153.5646739210345,-77.81660707178276,85.78737195381092
231.5405133436259,-57.80750304619782,29.29981258437894,-76.26476472732027,148.5260079793663,-67.86038333219008,150.3251898322262
236.9251764446405,-59.61471031401426,130.975236722226,-76.11537355853564,105.5697244155993,-62.66206367929076,68.45035266420302
242.3098395456551,-61.25756719500502,138.2546015664257,-72.80857092363222,72.49978073542361,-63.4275732808058,174.1163556602453
247.6945026466696,-58.15961594316868,11.82036906070034,-67.68857376400668,158.3252098837253,-59.2993300829698,35.33306843258041
253.0791657476842,-50.5618090292107,112.7038991193381,-56.36850074110973,131.3495851357255,-64.95608964274389,121.8488064869392
258.4638288486987,-55.57023771257936,12.06359884878058,-58.12842872942049,32.65295942027033,-58.23325781748636,128.706943102006
263.8484919497133,-54.09205589493703,44.94175902265205,-58.54589713521995,79.35023208500664,-60.24099406390778,165.8643088378773
269.2331550507278,-57.32334520896276,43.07850027586133,-66.26907536468137,107.759516128082,-66.38881533785292,30.23748733532816
274.6178181517424,-52.17001179401257,126.8291433944526,-62.81413753959839,67.53099398386721,-54.13345230577171,121.8018470199286
